[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run ParseTemplate Behavior [ RunTime:0.043002s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043002s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Tag[ view_filter ] --START--
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Tag[ view_end ] --START--
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-09-30T12:36:37+08:00 ] /lejing/admin.php/Common/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ route_check ] --START--
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ app_begin ] --START--
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SHOW COLUMNS FROM `cms_admin_menu` [ RunTime:0.006000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ view_template ] --START--
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001001s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | INFO: Tag[ view_parse ] --START--
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:36:55+08:00 ] /lejing/admin.php/index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
