[ 2015-09-22T22:54:12+08:00 ] /admin.php/Common/logout/ | INFO: Tag[ route_check ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_template ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_parse ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_end ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/top | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'top' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'top' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_template ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_parse ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_filter ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_end ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Tag[ route_check ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Run CheckRoute Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Tag[ app_begin ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'left' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'left' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 20 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined variable: role_idarr IndexAction.class.php 第 23 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [2] implode(): Invalid arguments passed IndexAction.class.php 第 23 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [2] implode(): Invalid arguments passed Db.class.php 第 538 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id` FROM `cms_rolepriv` WHERE ( `role_id` IN () )  [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 27 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`func_name` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '3' ) ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '2' ) AND ( `menu_id` IN ('6','152','152','152','152','162','162','162','162','162','162','162','170','170','170','132','132','135','135','138','138','138','138','138','145','145','148','148','148','152','148','170','135','181','25','201','204','206','208','210','212','214','214','214','214','219','221','135','194','194','181','181','181','181','183','185','185','185','189','189','192','194','194','224','132','4','42','42','42','42','49','49','52','52','52','56','63','63','68','42','36','36','63','63','6','25','4','4','6','5','5','6','36','36','36','68','68','68','118','121','121','121','105','105','105','105','105','116','125','125','125','118','88','88','68','74','74','74','74','74','5','5','4','4','4','88','88','130') ) ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '1' ) AND ( `menu_id` IN ('35','1','182','129','48','203','3','134','10','104') ) ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_template ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_parse ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined variable: arr 32ab8e8c53f1d3a4ec4914ac5a4844a9.php 第 16 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_filter ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_end ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Tag[ route_check ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Tag[ app_begin ] --START--
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:17+08:00 ] /admin.php/index/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'home' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'home' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 125 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined variable: role_list IndexAction.class.php 第 133 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | NOTIC: [2] implode(): Invalid arguments passed IndexAction.class.php 第 133 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT COUNT(*) AS tp_count FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT MAX(log_id) AS tp_max FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT * FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) AND ( `log_id` < '828' ) ORDER BY log_id DESC LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | SQL: SELECT `site_title` FROM `cms_config` ORDER BY id ASC LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_template ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_parse ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_filter ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_end ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/index/home | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Tag[ route_check ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Tag[ app_begin ] --START--
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Adminuser' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = '1' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'adminuser_list' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Adminuser' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = '1' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'adminuser_list' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | NOTIC: [8] Undefined index: findsub AdminuserAction.class.php 第 13 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT COUNT(*) AS tp_count FROM `cms_admin` WHERE ( `is_del` = '0' ) AND ( `admin_id` <> 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | NOTIC: [8] Undefined index: goto Page.class.php 第 63 行.
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT * FROM `cms_admin` WHERE ( `is_del` = '0' ) AND ( `admin_id` <> 1 ) LIMIT 0,15   [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SHOW COLUMNS FROM `cms_region` [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | SQL: SELECT * FROM `cms_region` WHERE ( `status` = 1 ) AND ( `pid` = 0 ) ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2015-09-22T22:54:18+08:00 ] /admin.php/Adminuser/adminuser_list | NOTIC: [8] Use of undefined constant id - assumed 'id' AdminuserAction.class.php 第 40 行.
